,text,embeddings,distances
67,"April 4 – The Intergovernmental Panel on Climate Change (IPCC) releases the third and final part of its Sixth Assessment Report on climate change, warning that greenhouse gas emissions must peak by 2025 at the latest and decline 43% by 2030, in order to limit global warming to 1.5 °C (2.7 °F).","[-0.01047762 -0.01639136  0.0026869  ...  0.01749698 -0.01569714
 -0.02663757]",0.29853024151717666
68,April 6 – The first known dinosaur fossil linked to the very day of the Chicxulub impact is reported by palaeontologists.,"[-0.01967865 -0.01164447 -0.00119416 ...  0.02586954  0.00858081
 -0.02317453]",0.26607462806854343
69,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining.",[0.0149497  0.0062364  0.00349478 ... 0.00633093 0.02642039 0.00224529],0.21177263333298924
70,"April 7 – President of Yemen Abdrabbuh Mansur Hadi resigns from office, dismisses vice president Ali Mohsen al-Ahmar, and transfers both offices' powers to the newly formed eight-member Presidential Leadership Council, chaired by Rashad al-Alimi.","[-0.01912876 -0.01189191 -0.00130557 ... -0.01186583  0.02630042
  0.00979909]",0.2656358358614238
71,"April 8 – Russian invasion of Ukraine: Russia is condemned by world leaders following a missile attack on Kramatorsk train station, which kills 59 civilians trying to evacuate, including seven children.","[-0.00092689 -0.00848076 -0.00284606 ...  0.01545554  0.01306893
  0.01178628]",0.12934321082471734
72,"April 8 – Global food prices increase to their highest level since the UN's Food Price Index began in 1990, with commodities such as wheat rising by nearly 20% as a result of the Ukraine crisis.","[-0.00355405 -0.01844474 -0.00162867 ...  0.00185323  0.01129773
  0.01263374]",0.22182785707702346
73,"April 11 – The National Assembly of Pakistan elects leader of the opposition Shehbaz Sharif as prime minister of Pakistan, after Imran Khan is removed from office following a motion of no confidence two days prior.","[-0.01698775 -0.00270015 -0.02332023 ...  0.02125996 -0.00312516
 -0.01275977]",0.27289175030745516
74,April 13 – COVID-19 pandemic: The number of confirmed cases exceeds 500 million worldwide.,"[ 0.00016066 -0.00724481  0.0044777  ...  0.01103073 -0.00722595
 -0.01924403]",0.26734074210290093
75,"April 14 – Russian invasion of Ukraine: The Russian flagship Moskva becomes the largest warship to be sunk in action since World War II. Ukraine claims to have struck it with Neptune anti-ship missiles, while Russia claims it sank during stormy weather after an onboard fire.","[-0.01050084 -0.01315257  0.0019109  ...  0.00664589  0.00371242
  0.00918824]",0.14669623971319234
76,"April 18 – Russian invasion of Ukraine: The battle of Donbas begins, leading to the deaths of several thousand military personnel and civilians.","[-0.00626062 -0.00403151  0.00486584 ...  0.01146401  0.00445186
  0.00011434]",0.1306416332289677
77,"April 19 – The second round of voting of the 2022 East Timorese presidential election is held and the National Congress for Timorese Reconstruction party presidential candidate, former president and former prime minister José Ramos-Horta is elected.","[-0.03681035 -0.01258541 -0.01731479 ...  0.01117973  0.0012234
 -0.00142292]",0.2718831114318737
78,"April 20 – A European Southern Observatory team announce the discovery of micronovae, a new type of exploding star.","[-0.00434056 -0.00132493 -0.0054135  ...  0.02749344 -0.00144685
 -0.02251237]",0.26113474762439837
79,"April 22 – The Large Hadron Collider recommences full operations, three years after being shut down for upgrades.","[-0.01251799  0.00188072 -0.0269804  ...  0.0287773   0.01278619
  0.00130577]",0.28118971794573444
80,"April 24 – The 2022 Slovenian parliamentary election is held to elect all 90 members of the National Assembly of Slovenia, the lower house of the Slovenian Parliament; the Freedom Movement party becomes the largest party, winning 41 of 90 seats.","[-0.0100442  -0.00117814 -0.01231835 ...  0.00143477 -0.01157294
 -0.01350597]",0.2766391404867884
81,"April 25 – Elon Musk reaches an agreement to acquire the social media network Twitter (which he later rebrands as X) for $44 billion USD, which later closes in October.","[-0.0114931  -0.01454385  0.01084713 ...  0.01214546  0.01538809
 -0.00356561]",0.2802490091059421
82,April 27 – The European Union accuses Russia of blackmail after gas supplies to Poland and Bulgaria are halted by energy giant Gazprom.,"[ 0.00186358 -0.02560144  0.0133756  ...  0.01441039  0.01733591
 -0.00022596]",0.1813765527072969
83,"April 28 – The Parliament of Montenegro elects a new government with Dritan Abazović as prime minister, following a motion of no confidence against the government of Zdravko Krivokapić.","[ 0.00272368 -0.00051821 -0.03278553 ... -0.01161682 -0.01211722
  0.00103405]",0.24444621083453377
84,"April 30 – The Cebu–Cordova Link Expressway, located in Cebu, Philippines, is officially opened as the longest bridge in the country.","[-0.00822132 -0.00302293 -0.00673421 ... -0.01225405  0.00589649
 -0.01810509]",0.3013548266828293
85,"May 6 – 2022 monkeypox outbreak: An outbreak of monkeypox begins when the first monkeypox virus case is reported in London, the United Kingdom.","[-0.0061274  -0.01306343  0.00108522 ...  0.00294147  0.0124742
 -0.00252618]",0.2620627524889888
86,May 9 – Prime Minister of Sri Lanka Mahinda Rajapaksa resigns as a result of massive protests against his government across the country. He is succeeded by Ranil Wickremesinghe as prime minister three days later.,"[-0.00149035  0.00073727 -0.01455545 ... -0.01818798 -0.0041578
  0.00431284]",0.25767355655360014
87,May 9 – 2022 Philippine presidential election: Bongbong Marcos and Sara Duterte are elected the 17th President and 15th Vice President of the Philippines in a landslide victory.,"[-0.03307691 -0.02485881 -0.00948341 ... -0.01117688 -0.01025026
  0.00781551]",0.2715252865152997
88,"May 10–May 14 – The Eurovision Song Contest 2022 is held in Turin, Italy. The contest is won by Ukrainian folk-rap group Kalush Orchestra with their song ""Stefania"".","[-0.00874934 -0.03797369  0.01531776 ...  0.0017287  -0.00636316
 -0.03386842]",0.22135327042551078
89,"May 11 – The Palestinian-American journalist Shireen Abu Akleh is killed by the Israel Defence Forces while covering a raid in Jenin. Initially, Israel denied responsibility but later admitted to the killing and issued an apology.","[-0.01722755 -0.00771529 -0.00649451 ... -0.00768924 -0.0076046
  0.00122647]",0.2522683476353682
90,"May 12 – The Event Horizon Telescope collaboration reveals its first image of Sagittarius A*, the supermassive black hole at the centre of the Milky Way.","[ 0.00076553 -0.00934503 -0.0160843  ...  0.01966888 -0.00283393
 -0.03465532]",0.2887922154399697
91,May 13 – Mohamed bin Zayed Al Nahyan is elected as the 3rd president of the United Arab Emirates by the Federal Supreme Council following the death of Khalifa bin Zayed Al Nahyan a day earlier.,"[-0.0194787  -0.02945932 -0.01267894 ... -0.0088124   0.00966951
 -0.00662835]",0.2812544593707048
92,"May 15 – Former President of Somalia Hassan Sheikh Mohamud is elected president again, beating President Mohamed Abdullahi Mohamed.","[-0.0114406  -0.00952737 -0.01935206 ... -0.02023111  0.03865241
  0.01259758]",0.2688553673373085
93,May 16 – Russian invasion of Ukraine: The Siege of Mariupol ends in a Russian victory as Ukrainian troops are evacuated from Mariupol.,"[-0.01828887 -0.00646825  0.01106285 ...  0.00642348  0.01690761
 -0.00916362]",0.11921315011269407
94,May 18 – Finland and Sweden apply to join NATO.,"[-0.00387458 -0.02944174  0.01413458 ...  0.00656385  0.02478969
 -0.00826535]",0.24147694959449506
95,"May 20 – 2022 monkeypox outbreak: The World Health Organization (WHO) holds an emergency meeting to discuss the spread of monkeypox in nearly a dozen countries, as the number of reported cases reaches 100.","[-0.01188694 -0.01846959  0.0094892  ... -0.00639821 -0.00520252
 -0.00558095]",0.2699730368091646
96,"May 21 – 2022 Australian federal election: The Labor party, led by Anthony Albanese, defeats the Liberal-National Coalition government led by Prime Minister Scott Morrison. Albanese is sworn in as Prime Minister two days later.","[-0.01578906 -0.01217047 -0.02384314 ... -0.00753076  0.00619373
 -0.00026764]",0.2671758573121391
97,May 24 – Uvalde school shooting: 18-year-old Salvador Ramos fatally shoots 19 students and two teachers at Robb Elementary School.,"[-0.0241448  -0.00223105 -0.00522345 ... -0.00388707 -0.00051439
  0.01051115]",0.2503609707985114
98,May 27 – Fiji announces that it will become the 14th member of the Indo-Pacific Economic Framework in order to counter Chinese influence in the Pacific. This comes amid a visit by Chinese foreign minister Wang Yi to Kiribati.,"[-0.0075225   0.00074693  0.00189207 ...  0.00045503 -0.01098939
 -0.0206051 ]",0.2648749535109113
99,"May 28 – Spanish club Real Madrid beat English club Liverpool 1–0 to win the UEFA Champions League final played at the Stade de France in Paris, France.","[-6.89582899e-03 -9.49123688e-03 -4.09972672e-05 ... -1.49283335e-02
 -2.22756760e-03  3.35279707e-04]",0.24522580852098375
100,June 4 – Retired general Bajram Begaj is elected President of Albania by the parliament in the fourth round of voting.,"[-0.01005225 -0.00135644 -0.01371056 ... -0.02697927  0.01653065
  0.00336591]",0.24327292089296537
101,"June 5 – At least 50 people are killed in a dual mass shooting-bomb attack in Owo, Nigeria.","[-0.01836547 -0.00360315 -0.01242332 ... -0.00163393  0.01886599
 -0.00427693]",0.2505525352566579
102,"June 8 – 2022 South Khorasan train derailment: In Iran, a passenger train derailed travelling from Tabas to Yazd crashed into an excavator and derailed, killing 18 and injuring 87.","[-0.01965212 -0.02280388  0.02031426 ... -0.0006373  -0.00238865
  0.01226271]",0.24807250270061554
103,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War.","[-0.0103314  -0.01583321 -0.00517875 ...  0.02241189  0.01839159
 -0.00993328]",0.23790836295998108
104,"June 19 – The second round of the 2022 legislative election is held in France, resulting in a hung parliament, with President Macron's coalition losing its majority in the National Assembly. A newly-formed coalition of left-wing parties, led by far-left Jean-Luc Mélenchon, makes significant gains. Marine Le Pen's far-right National Rally also makes historic gains, increasing its number of MPs tenfold and becoming the largest opposition party in Parliament. Two weeks later, Macron's government is reshuffled, continuing as a minority administration.","[-0.0288729  -0.00258844 -0.0088905  ...  0.00234184 -0.01915279
 -0.01546856]",0.2649720672941781
105,"June 19 – The second round of the 2022 Colombian presidential election is held, and former guerrilla fighter for the 19th of April Movement and incumbent senator, Gustavo Petro, defeats businessman and former mayor of Bucaramanga, Rodolfo Hernández Suárez.","[-0.03157883 -0.01053953  0.01651856 ... -0.0040269   0.00349992
  0.01361522]",0.25110787584779615
106,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people.","[-0.00164936 -0.00269614  0.00202006 ...  0.0060259  -0.00019168
 -0.01997528]",0.24320149452022144
107,June 23 – The European Council granted Moldova and Ukraine the status of a candidate for accession to the European Union.,"[-0.00015286 -0.00201521  0.02503732 ...  0.01818593  0.00510371
 -0.0130189 ]",0.19511521192246417
